MIDI Sequence
Format: One
Tracks: 6
Division: 48

OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	A6	0x60
OnNoteVoiceMidiEvent	24	0x0	A6	0x00
OnNoteVoiceMidiEvent	0	0x0	D7	0x60
OnNoteVoiceMidiEvent	24	0x0	D7	0x00
OnNoteVoiceMidiEvent	0	0x0	C#7	0x60
OnNoteVoiceMidiEvent	24	0x0	C#7	0x00
OnNoteVoiceMidiEvent	0	0x0	B6	0x60
